WorkoutDay,PowerAverage,TimeTotalInHours,HeartRateAverage
2022-06-24,100,1.377473593,129
2022-06-25,114,1.504822493,107
2022-06-26,67,0.159240559,132
2022-06-26,162,2.153101444,175
2022-06-26,65,0.788514495,
2022-06-27,228,0.452544183,189
2022-06-27,65,0.618083358,134
2022-06-27,60,0.056385558,123
2022-06-28,,1.323906064,106
2022-06-29,82,1.552772999,
2022-06-30,127,1.848817587,
2022-07-02,134,4.167532921,143
2022-07-03,161,2.491940022,147
2022-07-05,129,2.948395491,
2022-07-05,,1.166666667,
2022-07-07,140,2.26690197,147
2022-07-07,80,0.352464437,127
2022-07-08,155,1.452340245,142
2022-07-09,158,2.799577475,149
2022-07-10,118,2.807592869,130
2022-07-12,,1.345031977,136
2022-07-12,143,1.901815534,148
2022-07-13,,1.874979377,141
2022-07-14,175,1.569996357,154
2022-07-15,,1.258388996,146
2022-07-16,,4.000546455,164
2022-07-17,,1.892222222,140
2022-07-19,171,1.354830265,150
2022-07-20,151,2.001856804,139
2022-07-21,159,1.586274385,146
2022-07-22,98,0.972252786,
2022-07-23,94,0.141118616,145
2022-07-23,260,1.333683968,178
2022-07-23,235,0.212302506,149
2022-07-24,,0.377873331,127
2022-07-25,198,1.474548101,
2022-07-26,,,
2022-07-27,157,1.25227046,
2022-07-28,157,1.006217837,161
2022-07-29,113,1.451691389,109
2022-07-30,136,1.000414729,138
2022-07-31,18,0.104269721,131
2022-07-31,183,1.025776982,185
2022-08-01,91,0.329147249,142
2022-08-01,166,2.654958487,170
2022-08-02,,1,
2022-08-03,131,1.332384706,140
2022-08-04,,,
2022-08-05,,2.315,
2022-08-05,,1.276388889,
2022-08-06,,2.483611111,
2022-08-06,,2.154444444,
2022-08-07,,1.518611111,
2022-08-08,,,
2022-08-09,148,1.180543661,154
2022-08-10,143,3.000525236,159
2022-08-11,122,2.501811981,143
2022-08-12,71,1.639447212,118
2022-08-13,,2.535452366,172
2022-08-14,130,4.02933836,
2022-08-15,,1,
2022-08-16,,,
2022-08-17,,,
2022-08-18,,,
2022-08-19,93,0.826843858,
2022-08-20,,,
2022-08-21,,,
2022-08-22,106,0.867405534,
2022-08-23,131,1.342554092,
2022-08-24,115,1.5,137
2022-08-25,141,1.744617462,
2022-08-25,105,1,130
2022-08-26,93,0.890656412,
2022-08-27,146,1.000772715,
2022-08-28,117,2.810978413,
2022-08-29,106,1.235027313,
2022-08-30,121,1.208219409,
2022-08-31,78,1.151007175,
2022-09-01,135,1.019806981,
2022-09-02,,0.054337222,132
2022-09-02,,0.119094998,138
2022-09-02,,0.315753609,187
2022-09-02,,0.440584451,137
2022-09-03,,3.705759287,165
2022-09-05,,1.221516967,
2022-09-06,,1.958551168,145
2022-09-07,,1.777841449,
2022-09-08,,1.319531918,
2022-09-09,,1.147817254,
2022-09-10,,1.430166364,
2022-09-13,,,
2022-09-13,,1.243495584,132
2022-09-14,,2.509063244,
2022-09-15,,1.012371659,
2022-09-16,,2.533694983,
2022-09-17,,2.31689477,
2022-09-18,,3.748389721,
2022-09-20,,1.49634409,
2022-09-21,,1.00319469,
2022-09-22,,2.191625357,
2022-09-23,,0.716666667,
2022-09-24,,3.302521706,
2022-09-25,,2.404938459,
2022-09-27,,2.109501123,
2022-09-28,,1.688372016,
2022-09-29,,2.101428747,
2022-09-30,,3.404371023,
2022-10-01,,1.758622527,
2022-10-02,,1.967071891,
2022-10-04,,1.239789486,
2022-10-05,,1.847909451,
2022-10-06,,1.083333333,
2022-10-07,,2.45,
2022-10-08,,3.683333333,
2022-10-09,,2,
2022-10-11,,0.5,
2022-10-12,,1.15,
2022-10-13,,0.616666667,
2022-10-14,,4.504145145,
2022-10-15,,5.083333333,
2022-10-16,,1,
2022-10-18,,2.25,
2022-10-20,,0.666666667,
2022-10-21,,1.8,
2022-10-22,,2.25,
2022-10-23,,,
2022-10-24,,4.152145863,
2022-10-25,,2.09333992,
2022-10-26,,1.618490577,
2022-10-27,,3.007364035,
2022-10-28,,1.116872549,
2022-10-29,,2.239988327,
2022-11-06,,0.9,
2022-11-12,,,
2022-11-20,,,
